MAINCODE,ZL
C1,C
C2,C
C3,C
C4,C
C5,C
C,C
CCZZQ,QT
C-K,C
CU,QT
D1,D
D2,D
D4,D
D,D
DY,GIC
E1,E1
E2,E2
E4,E2
E6,E2
E9,E9
E,E
E,E2
G11,G
G12,G
G1,G
G2,G
G3,G
G4,G
G,G
GIC1,GIC
GIC22,GIC
GIC2,GIC
GIC3,GIC
GIC41,GIC
GIC4,GIC
GIC54,GIC
GIC55,GIC
GIC5,GIC
GIC6,GIC
GIC7,GIC
GIC8,GIC
GIC9,GIC
GIC,GIC
GIC-K,GIC
G-K,G
KZZHQ,QT
M0-K,M
M0,M
M1,M
M2,M
M3,M
M4,M
MD,QT
M-K,M
M,M
MO,QT
R1,R
R2,R
R3,R
R4,R
R6,R
R-K,R
R,R
S1,S
S22,S
S2,S
S3( 13°æ),S
S3,S
S4,S
S9,S
S,S
T1,T
T2,T
T3,T
T4,T
TBGZQ,QT
TH,QT
T,T
U11,U
U12,U
U1,U
U21,U
U2,U
U3,U
U4,U
U52,U
U5,U
U6,U
U7,U
U8,U
U9,U
U,U
W0,W
W1,W
W2,W
W3,W
WH,QT
W,W
XZFZQ,QT
